GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2010-06-17,40900407,Final,1610612747,1610612738,2009,1610612747,83.0,0.325,0.6759999999999999,0.2,11.0,53.0,1610612738,79.0,0.408,0.882,0.375,18.0,40.0,1
2010-06-15,40900406,Final,1610612747,1610612738,2009,1610612747,89.0,0.418,0.895,0.316,17.0,52.0,1610612738,67.0,0.3329999999999999,0.6,0.217,17.0,39.0,1
2010-06-13,40900405,Final,1610612738,1610612747,2009,1610612738,92.0,0.563,0.6920000000000001,0.25,21.0,35.0,1610612747,86.0,0.397,0.654,0.368,12.0,34.0,1
2010-06-10,40900404,Final,1610612738,1610612747,2009,1610612738,96.0,0.446,0.826,0.25,15.0,41.0,1610612747,89.0,0.451,0.818,0.35,13.0,34.0,1
2010-06-08,40900403,Final,1610612738,1610612747,2009,1610612738,84.0,0.4379999999999999,0.667,0.222,20.0,35.0,1610612747,91.0,0.447,0.875,0.133,13.0,43.0,0
2010-06-06,40900402,Final,1610612747,1610612738,2009,1610612747,94.0,0.408,0.7559999999999999,0.2269999999999999,18.0,39.0,1610612738,103.0,0.429,0.769,0.688,28.0,44.0,0
2010-06-03,40900401,Final,1610612747,1610612738,2009,1610612747,102.0,0.487,0.774,0.4,18.0,42.0,1610612738,89.0,0.433,0.833,0.1,19.0,31.0,1
2010-05-29,40900316,Final,1610612756,1610612747,2009,1610612756,103.0,0.467,0.828,0.346,19.0,31.0,1610612747,111.0,0.47,0.821,0.417,18.0,41.0,0
2010-05-28,40900306,Final,1610612738,1610612753,2009,1610612738,96.0,0.4270000000000001,0.815,0.455,19.0,45.0,1610612753,84.0,0.431,0.593,0.273,14.0,35.0,1
2010-05-27,40900315,Final,1610612747,1610612756,2009,1610612747,103.0,0.418,0.87,0.292,28.0,49.0,1610612756,101.0,0.4679999999999999,0.69,0.3329999999999999,19.0,40.0,1
2010-05-26,40900305,Final,1610612753,1610612738,2009,1610612753,113.0,0.522,0.8,0.52,16.0,43.0,1610612738,92.0,0.431,0.767,0.4379999999999999,19.0,26.0,1
2010-05-25,40900314,Final,1610612756,1610612747,2009,1610612756,115.0,0.488,0.688,0.3670000000000001,23.0,51.0,1610612747,106.0,0.495,0.5379999999999999,0.321,25.0,36.0,1
2010-05-24,40900304,Final,1610612738,1610612753,2009,1610612738,92.0,0.421,0.767,0.278,19.0,47.0,1610612753,96.0,0.446,0.606,0.357,19.0,43.0,0
2010-05-23,40900313,Final,1610612756,1610612747,2009,1610612756,118.0,0.4629999999999999,0.8809999999999999,0.25,19.0,40.0,1610612747,109.0,0.483,0.8,0.281,20.0,41.0,1
2010-05-22,40900303,Final,1610612738,1610612753,2009,1610612738,94.0,0.466,0.7140000000000001,0.545,23.0,43.0,1610612753,71.0,0.369,0.833,0.267,10.0,36.0,1
2010-05-19,40900312,Final,1610612747,1610612756,2009,1610612747,124.0,0.5770000000000001,0.735,0.563,32.0,39.0,1610612756,112.0,0.494,0.769,0.417,29.0,34.0,1
2010-05-18,40900302,Final,1610612753,1610612738,2009,1610612753,92.0,0.3939999999999999,0.763,0.389,18.0,36.0,1610612738,95.0,0.4589999999999999,0.7859999999999999,0.3329999999999999,20.0,38.0,0
2010-05-17,40900311,Final,1610612747,1610612756,2009,1610612747,128.0,0.58,0.818,0.471,26.0,42.0,1610612756,107.0,0.494,0.75,0.2269999999999999,25.0,34.0,1
2010-05-16,40900301,Final,1610612753,1610612738,2009,1610612753,88.0,0.416,0.731,0.2269999999999999,10.0,45.0,1610612738,92.0,0.446,0.769,0.429,21.0,38.0,0
2010-05-13,40900206,Final,1610612738,1610612739,2009,1610612738,94.0,0.442,0.636,0.294,24.0,37.0,1610612739,85.0,0.384,0.706,0.294,17.0,48.0,1
2010-05-11,40900205,Final,1610612739,1610612738,2009,1610612739,88.0,0.412,0.794,0.3329999999999999,20.0,31.0,1610612738,120.0,0.55,0.706,0.5329999999999999,25.0,41.0,0
2010-05-10,40900214,Final,1610612737,1610612753,2009,1610612737,84.0,0.405,0.7240000000000001,0.25,17.0,30.0,1610612753,98.0,0.5539999999999999,0.526,0.4320000000000001,27.0,37.0,0
2010-05-10,40900234,Final,1610612762,1610612747,2009,1610612762,96.0,0.457,0.667,0.25,16.0,45.0,1610612747,111.0,0.4579999999999999,0.8059999999999999,0.353,14.0,42.0,0
2010-05-09,40900204,Final,1610612738,1610612739,2009,1610612738,97.0,0.447,0.7,0.071,19.0,47.0,1610612739,87.0,0.4029999999999999,0.7440000000000001,0.19,19.0,33.0,1
2010-05-09,40900224,Final,1610612759,1610612756,2009,1610612759,101.0,0.467,0.75,0.364,20.0,42.0,1610612756,107.0,0.457,0.821,0.417,22.0,37.0,0
2010-05-08,40900213,Final,1610612737,1610612753,2009,1610612737,75.0,0.349,0.684,0.267,9.0,34.0,1610612753,105.0,0.507,0.6759999999999999,0.345,21.0,51.0,0
2010-05-08,40900233,Final,1610612762,1610612747,2009,1610612762,110.0,0.481,0.8390000000000001,0.455,23.0,42.0,1610612747,111.0,0.471,0.8420000000000001,0.4479999999999999,18.0,39.0,0
2010-05-07,40900203,Final,1610612738,1610612739,2009,1610612738,95.0,0.4270000000000001,0.7240000000000001,0.235,20.0,30.0,1610612739,124.0,0.595,0.912,0.417,25.0,45.0,0
2010-05-07,40900223,Final,1610612759,1610612756,2009,1610612759,96.0,0.45,0.5710000000000001,0.5,17.0,43.0,1610612756,110.0,0.532,0.647,0.5770000000000001,16.0,37.0,0
2010-05-06,40900212,Final,1610612753,1610612737,2009,1610612753,112.0,0.5589999999999999,0.6920000000000001,0.391,16.0,35.0,1610612737,98.0,0.413,0.968,0.545,16.0,41.0,1
2010-05-05,40900222,Final,1610612756,1610612759,2009,1610612756,110.0,0.424,0.784,0.474,19.0,49.0,1610612759,102.0,0.506,0.682,0.389,28.0,37.0,1
2010-05-04,40900211,Final,1610612753,1610612737,2009,1610612753,114.0,0.524,0.708,0.391,23.0,53.0,1610612737,71.0,0.346,0.722,0.154,12.0,35.0,1
2010-05-04,40900232,Final,1610612747,1610612762,2009,1610612747,111.0,0.506,0.75,0.235,26.0,58.0,1610612762,103.0,0.396,0.679,0.421,27.0,40.0,1
2010-05-03,40900202,Final,1610612739,1610612738,2009,1610612739,86.0,0.4,0.684,0.19,17.0,32.0,1610612738,104.0,0.513,0.833,0.474,30.0,43.0,0
2010-05-03,40900221,Final,1610612756,1610612759,2009,1610612756,111.0,0.519,0.759,0.35,16.0,44.0,1610612759,102.0,0.4579999999999999,0.71,0.211,18.0,38.0,1
2010-05-02,40900127,Final,1610612737,1610612749,2009,1610612737,95.0,0.474,0.81,0.375,21.0,55.0,1610612749,74.0,0.326,0.737,0.211,15.0,34.0,1
2010-05-02,40900231,Final,1610612747,1610612762,2009,1610612747,104.0,0.532,0.741,0.1669999999999999,18.0,43.0,1610612762,99.0,0.447,0.857,0.278,24.0,38.0,1
2010-05-01,40900201,Final,1610612739,1610612738,2009,1610612739,101.0,0.487,0.677,0.3329999999999999,18.0,41.0,1610612738,93.0,0.444,0.81,0.25,20.0,41.0,1
2010-04-30,40900126,Final,1610612749,1610612737,2009,1610612749,69.0,0.3289999999999999,1.0,0.2689999999999999,14.0,42.0,1610612737,83.0,0.3829999999999999,0.727,0.313,15.0,51.0,0
2010-04-30,40900146,Final,1610612760,1610612747,2009,1610612760,94.0,0.365,0.871,0.263,21.0,42.0,1610612747,95.0,0.4679999999999999,0.643,0.5,23.0,43.0,0
2010-04-30,40900176,Final,1610612762,1610612743,2009,1610612762,112.0,0.522,0.667,0.4,26.0,45.0,1610612743,104.0,0.434,0.675,0.294,19.0,39.0,1
2010-04-29,40900156,Final,1610612759,1610612742,2009,1610612759,97.0,0.474,0.613,0.3329999999999999,23.0,43.0,1610612742,87.0,0.4379999999999999,0.8,0.25,15.0,40.0,1
2010-04-29,40900166,Final,1610612757,1610612756,2009,1610612757,90.0,0.38,0.792,0.478,22.0,35.0,1610612756,99.0,0.473,0.654,0.522,21.0,40.0,0
2010-04-28,40900125,Final,1610612737,1610612749,2009,1610612737,87.0,0.434,0.765,0.182,16.0,39.0,1610612749,91.0,0.405,0.7929999999999999,0.421,16.0,39.0,0
2010-04-28,40900175,Final,1610612743,1610612762,2009,1610612743,116.0,0.507,0.7859999999999999,0.529,20.0,40.0,1610612762,102.0,0.452,0.76,0.389,19.0,41.0,1
2010-04-27,40900135,Final,1610612738,1610612748,2009,1610612738,96.0,0.486,0.8640000000000001,0.583,28.0,38.0,1610612748,86.0,0.392,0.8640000000000001,0.25,18.0,38.0,1
2010-04-27,40900105,Final,1610612739,1610612741,2009,1610612739,96.0,0.466,0.643,0.385,23.0,37.0,1610612741,94.0,0.461,0.759,0.2,15.0,39.0,1
2010-04-27,40900155,Final,1610612742,1610612759,2009,1610612742,103.0,0.44,0.6970000000000001,0.25,20.0,52.0,1610612759,81.0,0.359,0.7859999999999999,0.188,11.0,41.0,1
2010-04-27,40900145,Final,1610612747,1610612760,2009,1610612747,111.0,0.5379999999999999,0.71,0.357,27.0,45.0,1610612760,87.0,0.369,0.75,0.35,18.0,42.0,1
2010-04-26,40900114,Final,1610612766,1610612753,2009,1610612766,90.0,0.451,0.636,0.263,27.0,36.0,1610612753,99.0,0.418,0.7140000000000001,0.3939999999999999,18.0,38.0,0
2010-04-26,40900124,Final,1610612749,1610612737,2009,1610612749,111.0,0.551,0.875,0.389,17.0,33.0,1610612737,104.0,0.475,0.857,0.526,14.0,33.0,1
2010-04-26,40900165,Final,1610612756,1610612757,2009,1610612756,107.0,0.466,0.906,0.37,21.0,41.0,1610612757,88.0,0.4639999999999999,0.708,0.389,21.0,29.0,1
2010-04-25,40900134,Final,1610612748,1610612738,2009,1610612748,101.0,0.5,0.6,0.556,16.0,43.0,1610612738,92.0,0.493,0.593,0.381,19.0,35.0,1
2010-04-25,40900104,Final,1610612741,1610612739,2009,1610612741,98.0,0.374,0.813,0.3329999999999999,14.0,49.0,1610612739,121.0,0.532,0.735,0.48,21.0,41.0,0
2010-04-25,40900154,Final,1610612759,1610612742,2009,1610612759,92.0,0.4529999999999999,0.643,0.353,19.0,43.0,1610612742,89.0,0.416,0.7829999999999999,0.368,17.0,48.0,1
2010-04-25,40900174,Final,1610612762,1610612743,2009,1610612762,117.0,0.532,0.7140000000000001,0.278,24.0,39.0,1610612743,106.0,0.44,0.743,0.375,13.0,45.0,1
2010-04-24,40900113,Final,1610612766,1610612753,2009,1610612766,86.0,0.419,0.826,0.217,17.0,33.0,1610612753,90.0,0.4429999999999999,0.76,0.3,14.0,43.0,0
2010-04-24,40900164,Final,1610612757,1610612756,2009,1610612757,96.0,0.4429999999999999,0.75,0.357,26.0,45.0,1610612756,87.0,0.434,0.7140000000000001,0.261,17.0,39.0,1
2010-04-24,40900123,Final,1610612749,1610612737,2009,1610612749,107.0,0.513,0.938,0.435,23.0,44.0,1610612737,89.0,0.391,0.72,0.2,16.0,41.0,1
2010-04-24,40900144,Final,1610612760,1610612747,2009,1610612760,110.0,0.408,0.875,0.3329999999999999,15.0,50.0,1610612747,89.0,0.415,0.607,0.182,19.0,43.0,1
2010-04-23,40900133,Final,1610612748,1610612738,2009,1610612748,98.0,0.506,0.8240000000000001,0.3329999999999999,20.0,34.0,1610612738,100.0,0.4679999999999999,0.7829999999999999,0.348,19.0,38.0,0
2010-04-23,40900153,Final,1610612759,1610612742,2009,1610612759,94.0,0.487,0.769,0.0,19.0,36.0,1610612742,90.0,0.447,0.933,0.4,17.0,36.0,1
2010-04-23,40900173,Final,1610612762,1610612743,2009,1610612762,105.0,0.47,0.645,0.389,27.0,43.0,1610612743,93.0,0.431,0.7709999999999999,0.267,12.0,40.0,1
2010-04-22,40900103,Final,1610612741,1610612739,2009,1610612741,108.0,0.5,0.76,0.417,22.0,42.0,1610612739,106.0,0.439,0.645,0.4,21.0,43.0,1
2010-04-22,40900143,Final,1610612760,1610612747,2009,1610612760,101.0,0.413,0.794,0.421,16.0,53.0,1610612747,96.0,0.452,0.833,0.3229999999999999,22.0,39.0,1
2010-04-22,40900163,Final,1610612757,1610612756,2009,1610612757,89.0,0.442,0.5710000000000001,0.313,20.0,37.0,1610612756,108.0,0.529,0.7,0.4639999999999999,21.0,35.0,0
2010-04-21,40900112,Final,1610612753,1610612766,2009,1610612753,92.0,0.4529999999999999,0.6859999999999999,0.37,17.0,36.0,1610612766,77.0,0.439,0.722,0.429,18.0,36.0,1
2010-04-21,40900152,Final,1610612742,1610612759,2009,1610612742,88.0,0.365,0.95,0.368,19.0,42.0,1610612759,102.0,0.482,0.636,0.5329999999999999,18.0,51.0,0
2010-04-20,40900122,Final,1610612737,1610612749,2009,1610612737,96.0,0.475,0.85,0.273,26.0,40.0,1610612749,86.0,0.411,0.5710000000000001,0.1669999999999999,18.0,47.0,1
2010-04-20,40900132,Final,1610612738,1610612748,2009,1610612738,106.0,0.48,0.815,0.6,26.0,50.0,1610612748,77.0,0.382,0.625,0.5,16.0,33.0,1
2010-04-20,40900162,Final,1610612756,1610612757,2009,1610612756,119.0,0.523,0.875,0.4,26.0,43.0,1610612757,90.0,0.382,0.848,0.3329999999999999,12.0,34.0,1
2010-04-20,40900142,Final,1610612747,1610612760,2009,1610612747,95.0,0.375,0.7190000000000001,0.273,20.0,49.0,1610612760,92.0,0.392,0.879,0.263,13.0,37.0,1
2010-04-19,40900102,Final,1610612739,1610612741,2009,1610612739,112.0,0.563,0.917,0.5,24.0,36.0,1610612741,102.0,0.441,0.941,0.308,25.0,37.0,1
2010-04-19,40900172,Final,1610612743,1610612762,2009,1610612743,111.0,0.467,0.841,0.222,22.0,32.0,1610612762,114.0,0.529,0.7659999999999999,0.462,26.0,32.0,0
2010-04-18,40900141,Final,1610612747,1610612760,2009,1610612747,87.0,0.41,0.682,0.364,14.0,41.0,1610612760,79.0,0.4029999999999999,0.792,0.125,14.0,36.0,1
2010-04-18,40900111,Final,1610612753,1610612766,2009,1610612753,98.0,0.446,0.7040000000000001,0.433,13.0,34.0,1610612766,89.0,0.465,0.7140000000000001,0.25,19.0,41.0,1
2010-04-18,40900151,Final,1610612742,1610612759,2009,1610612742,100.0,0.473,0.735,0.357,23.0,45.0,1610612759,94.0,0.5,0.857,0.364,19.0,37.0,1
2010-04-18,40900161,Final,1610612756,1610612757,2009,1610612756,100.0,0.418,0.813,0.344,20.0,47.0,1610612757,105.0,0.469,0.742,0.353,16.0,44.0,0
2010-04-17,40900101,Final,1610612739,1610612741,2009,1610612739,96.0,0.4639999999999999,0.706,0.261,27.0,50.0,1610612741,83.0,0.425,0.727,0.143,19.0,38.0,1
2010-04-17,40900121,Final,1610612737,1610612749,2009,1610612737,102.0,0.539,0.737,0.545,18.0,40.0,1610612749,92.0,0.451,0.706,0.3,11.0,35.0,1
2010-04-17,40900131,Final,1610612738,1610612748,2009,1610612738,85.0,0.4429999999999999,0.7859999999999999,0.1669999999999999,18.0,37.0,1610612748,76.0,0.397,0.769,0.235,18.0,40.0,1
2010-04-17,40900171,Final,1610612743,1610612762,2009,1610612743,126.0,0.5710000000000001,0.76,0.423,29.0,42.0,1610612762,113.0,0.547,0.75,0.412,26.0,31.0,1
